customer_id,recency,frequency,monetary,Segment
CS1291,3/16/2015,15,1006,P0
CS1292,2/23/2015,18,1307,P0
CS1293,1/1/2015,21,1625,P0
CS1294,2/10/2015,30,2129,P0
CS1295,3/13/2015,22,1487,P0
CS1296,3/4/2015,21,1505,P0
CS1297,1/11/2015,12,765,P2
CS1298,1/31/2015,21,1561,P0
CS1299,12/6/2014,21,1552,P0
CS1300,3/9/2015,18,1309,P0
CS1301,2/19/2015,19,1250,P0
CS1302,2/14/2015,19,1278,P0
CS1303,2/2/2015,22,1634,P0
CS1304,12/27/2014,15,874,P2
CS1305,12/1/2014,16,1031,P0
CS1306,3/12/2015,15,1153,P0
CS1307,1/2/2015,18,1220,P0
CS1308,2/26/2015,21,1487,P0
CS1309,1/11/2015,12,761,P2
CS1310,11/16/2014,15,1103,P0
CS1311,2/10/2015,18,1129,P0
CS1312,2/26/2015,16,1353,P0
CS1313,3/5/2015,29,2072,P0
CS1314,10/13/2013,13,891,P2
CS1315,1/1/2015,15,1030,P0
CS1316,2/15/2015,26,1726,P0
CS1317,2/26/2015,16,1146,P0
CS1318,2/28/2015,22,1693,P0
CS1319,12/18/2014,18,1161,P0
CS1320,3/4/2015,18,1382,P0
CS1321,3/16/2015,21,1668,P0
CS1322,3/11/2015,26,1964,P0
CS1323,11/11/2014,23,1595,P0
CS1324,8/20/2014,24,1611,P0
CS1325,8/25/2014,18,1209,P0
CS1326,2/20/2015,27,1940,P0
CS1327,3/2/2015,23,1525,P0
CS1328,8/10/2014,15,1043,P0
CS1329,11/14/2014,17,1158,P0
CS1330,2/17/2015,23,1750,P0
CS1331,3/6/2015,15,1170,P0
CS1332,11/6/2014,29,2010,P0
CS1333,1/29/2015,8,625,P2
CS1334,12/27/2014,25,1781,P0
CS1335,11/15/2014,17,1157,P0
CS1336,11/28/2014,24,1696,P0
CS1337,2/8/2015,22,1668,P0
CS1338,2/25/2015,18,1436,P0
CS1339,1/16/2015,23,1680,P0
CS1340,11/10/2014,20,1506,P0
CS1341,1/7/2015,13,1038,P2
CS1342,3/15/2015,16,1326,P0
CS1343,1/8/2015,21,1489,P0
CS1344,2/20/2015,25,1638,P0
CS1345,12/6/2014,18,1193,P0
CS1346,9/30/2014,15,1072,P0
CS1347,3/12/2015,30,2000,P0
CS1348,1/17/2015,22,1583,P0
CS1349,2/28/2015,16,1086,P0
CS1350,2/12/2015,27,1996,P0
CS1351,11/14/2014,21,1505,P0
CS1352,2/4/2015,20,1424,P0
CS1353,8/23/2014,19,1408,P0
CS1354,2/2/2014,16,1324,P0
CS1355,1/27/2015,23,1507,P0
CS1356,12/26/2014,24,1740,P0
CS1357,10/14/2014,26,1775,P0
CS1358,3/5/2015,19,1408,P0
CS1359,2/24/2015,16,1145,P0
CS1360,2/2/2015,18,1282,P0
CS1361,2/27/2015,19,1470,P0
CS1362,3/10/2015,23,1703,P0
CS1363,8/27/2014,24,1632,P0
CS1364,1/9/2015,27,1864,P0
CS1365,2/27/2015,19,1225,P0
CS1366,2/17/2015,22,1493,P0
CS1367,1/8/2015,29,2146,P0
CS1368,3/12/2015,15,960,P2
CS1369,1/29/2015,25,1746,P0
CS1370,10/26/2014,26,1864,P0
CS1371,10/8/2014,22,1496,P0
CS1372,6/11/2014,19,1412,P0
CS1373,12/21/2014,30,1967,P0
CS1374,10/3/2014,19,1357,P0
CS1375,11/9/2014,17,1165,P0
CS1376,2/10/2015,25,1512,P0
CS1377,10/24/2014,18,1505,P0
CS1378,2/19/2015,25,1671,P0
CS1379,10/31/2014,15,1134,P0
CS1380,2/28/2015,26,1857,P0
CS1381,2/20/2014,22,1449,P0
CS1382,3/12/2015,25,1845,P0
CS1383,11/21/2014,25,1878,P0
CS1384,3/4/2015,17,964,P2
CS1385,3/11/2015,22,1478,P0
CS1386,1/4/2015,14,998,P2
CS1387,11/9/2014,18,1238,P0
CS1388,2/14/2015,19,1275,P0
CS1389,2/25/2015,18,1189,P0
CS1390,1/31/2015,19,1210,P0
CS1391,3/12/2015,25,1584,P0
CS1392,1/1/2015,17,1227,P0
CS1393,12/7/2014,19,1437,P0
CS1394,3/11/2015,28,2046,P0
CS1395,3/2/2015,22,1704,P0
CS1396,2/13/2015,25,1852,P0
CS1397,10/1/2014,30,2156,P0
CS1398,2/15/2015,20,1354,P0
CS1399,2/21/2015,26,1832,P0
CS1400,12/30/2014,18,1193,P0
CS1401,3/2/2015,30,2023,P0
CS1402,2/14/2015,22,1660,P0
CS1403,2/1/2015,22,1652,P0
CS1404,1/25/2015,28,1900,P0
CS1405,2/25/2015,26,1943,P0
CS1406,3/2/2015,27,1842,P0
CS1407,3/3/2015,28,1916,P0
CS1408,7/18/2014,17,1214,P0
CS1409,12/20/2014,24,1464,P0
CS1410,1/16/2015,15,1160,P0
CS1411,1/19/2015,17,1222,P0
CS1412,3/1/2015,22,1599,P0
CS1413,1/16/2015,19,1396,P0
CS1414,10/14/2014,20,1437,P0
CS1415,1/1/2015,27,1752,P0
CS1416,3/4/2015,20,1513,P0
CS1417,1/25/2015,15,1076,P0
CS1418,10/17/2014,14,1053,P2
CS1419,3/16/2015,27,1915,P0
CS1420,12/25/2014,25,1923,P0
CS1421,1/16/2015,27,1896,P0
CS1422,3/11/2015,15,1211,P0
CS1423,1/20/2015,20,1182,P0
CS1424,3/6/2015,24,1753,P0
CS1425,1/4/2015,23,1688,P0
CS1426,2/23/2015,21,1538,P0
CS1427,3/9/2015,15,985,P2
CS1428,12/21/2014,25,1948,P0
CS1429,11/4/2014,18,1261,P0
CS1430,3/3/2015,21,1440,P0
CS1431,3/4/2015,18,1257,P0
CS1432,3/13/2015,19,1362,P0
CS1433,2/5/2015,20,1468,P0
CS1434,3/5/2015,27,1758,P0
CS1435,1/29/2015,25,1700,P0
CS1436,1/16/2015,14,977,P2
CS1437,2/16/2015,12,880,P2
CS1438,2/8/2015,20,1374,P0
CS1439,2/10/2015,16,1160,P0
CS1440,12/5/2014,22,1577,P0
CS1441,1/7/2015,20,1351,P0
CS1442,3/8/2015,20,1225,P0
CS1443,1/22/2015,24,1876,P0
CS1444,2/9/2015,23,1756,P0
CS1445,3/14/2015,23,1526,P0
CS1446,3/3/2015,15,991,P2
CS1447,3/11/2015,14,1001,P2
CS1448,2/5/2015,16,1239,P0
CS1449,3/14/2015,20,1402,P0
CS1450,2/20/2015,20,1251,P0
CS1451,2/24/2015,22,1715,P0
CS1452,11/28/2014,15,941,P2
CS1453,11/4/2014,22,1640,P0
CS1454,2/24/2015,17,1126,P0
CS1455,3/14/2015,18,1301,P0
CS1456,8/24/2014,20,1363,P0
CS1457,12/15/2014,15,929,P2
CS1458,3/11/2015,20,1422,P0
CS1459,11/12/2014,24,1627,P0
CS1460,2/3/2015,18,1185,P0
CS1461,2/17/2015,23,1567,P0
CS1462,1/27/2015,24,1616,P0
CS1463,11/8/2014,27,1807,P0
CS1464,7/23/2014,21,1613,P0
CS1465,3/14/2015,22,1631,P0
CS1466,2/22/2015,17,1190,P0
CS1467,8/10/2014,18,1233,P0
CS1468,3/7/2015,21,1412,P0
CS1469,3/7/2015,19,1387,P0
CS1470,1/23/2015,22,1649,P0
CS1471,3/12/2015,20,1325,P0
CS1472,3/8/2015,19,1241,P0
CS1473,3/13/2015,25,1695,P0
CS1474,12/17/2014,21,1487,P0
CS1475,1/20/2015,18,1197,P0
CS1476,12/29/2014,20,1430,P0
CS1477,3/3/2015,18,1185,P0
CS1478,12/16/2014,19,1300,P0
CS1479,1/18/2015,20,1567,P0
CS1480,12/24/2014,17,1251,P0
CS1481,12/23/2013,13,876,P2
CS1482,2/8/2015,12,732,P2
CS1483,1/1/2015,24,1774,P0
CS1484,12/7/2014,16,1221,P0
CS1485,2/22/2015,25,1814,P0
CS1486,1/27/2015,19,1377,P0
CS1487,2/16/2015,10,599,P2
CS1488,3/3/2015,23,1595,P0
CS1489,2/11/2015,15,950,P2
CS1490,2/21/2015,25,1788,P0
CS1491,12/19/2014,17,1244,P0
CS1492,2/7/2015,19,1358,P0
CS1493,3/11/2015,21,1531,P0
CS1494,11/18/2014,21,1502,P0
CS1495,2/26/2015,17,1138,P0
CS1496,2/21/2015,18,1222,P0
CS1497,3/9/2015,20,1445,P0
CS1498,1/19/2015,22,1519,P0
CS1499,1/30/2015,26,1879,P0
CS1500,10/3/2014,15,983,P2
CS1501,2/9/2015,26,1965,P0
CS1502,3/11/2015,22,1613,P0
CS1503,3/15/2015,27,1927,P0
CS1504,1/31/2015,13,825,P2
CS1505,1/23/2015,25,1703,P0
CS1506,12/30/2014,18,1307,P0
CS1507,2/25/2015,21,1280,P0
CS1508,3/2/2015,28,1933,P0
CS1509,10/21/2014,20,1383,P0
CS1510,3/13/2015,26,1792,P0
CS1511,1/25/2015,18,1253,P0
CS1512,2/21/2015,20,1239,P0
CS1513,11/30/2014,22,1444,P0
CS1514,10/6/2014,16,1046,P0
CS1515,3/2/2015,22,1742,P0
CS1516,12/5/2014,18,1308,P0
CS1517,12/21/2014,18,1168,P0
CS1518,11/12/2014,19,1151,P0
CS1519,3/5/2015,15,962,P2
CS1520,3/13/2015,18,1162,P0
CS1521,9/3/2014,9,671,P2
CS1522,12/10/2014,14,894,P2
CS1523,8/13/2014,15,928,P2
CS1524,11/6/2014,17,1075,P0
CS1525,2/17/2015,17,1215,P0
CS1526,2/13/2015,19,1324,P0
CS1527,3/3/2015,19,1187,P0
CS1528,3/13/2015,24,1660,P0
CS1529,3/7/2015,25,1823,P0
CS1530,7/8/2014,10,626,P2
CS1531,2/9/2015,25,1793,P0
CS1532,6/6/2014,17,1140,P0
CS1533,2/1/2015,23,1606,P0
CS1534,1/7/2015,20,1379,P0
CS1535,12/23/2014,24,1904,P0
CS1536,2/9/2015,12,753,P2
CS1537,3/11/2015,20,1323,P0
CS1538,3/14/2015,19,1304,P0
CS1539,2/19/2015,20,1371,P0
CS1540,2/6/2015,19,1199,P0
CS1541,10/26/2014,30,2273,P0
CS1542,9/27/2014,27,1808,P0
CS1543,3/15/2015,12,948,P2
CS1544,1/22/2015,19,1334,P0
CS1545,2/23/2015,28,1935,P0
CS1546,8/29/2014,18,1436,P0
CS1547,2/19/2015,22,1600,P0
CS1548,2/27/2015,23,1755,P0
CS1549,2/19/2015,20,1393,P0
CS1550,1/25/2015,22,1583,P0
CS1551,12/5/2014,18,1300,P0
CS1552,2/14/2015,22,1604,P0
CS1553,9/10/2014,20,1444,P0
CS1554,10/26/2014,17,993,P2
CS1555,1/13/2015,23,1571,P0
CS1556,2/22/2015,13,1031,P2
CS1557,2/3/2015,30,1992,P0
CS1558,2/25/2015,23,1500,P0
CS1559,3/10/2015,20,1613,P0
CS1560,1/26/2015,18,1352,P0
CS1561,3/15/2015,15,1082,P0
CS1562,3/3/2014,12,711,P2
CS1563,2/5/2014,17,1108,P0
CS1564,2/26/2015,16,1304,P0
CS1565,11/16/2014,17,1147,P0
CS1566,9/7/2014,21,1491,P0
CS1567,2/23/2015,19,1465,P0
CS1568,2/11/2015,20,1604,P0
CS1569,2/19/2015,15,1074,P0
CS1570,12/4/2014,25,1782,P0
CS1571,2/13/2015,20,1503,P0
CS1572,2/10/2015,15,1085,P0
CS1573,2/1/2015,19,1539,P0
CS1574,3/9/2015,18,1018,P0
CS1575,1/29/2015,26,1611,P0
CS1576,12/13/2014,16,1074,P0
CS1577,2/25/2015,21,1525,P0
CS1578,12/18/2014,16,1125,P0
CS1579,2/18/2015,20,1433,P0
CS1580,9/7/2014,33,2329,P0
CS1581,2/7/2015,23,1501,P0
CS1582,2/26/2015,27,2009,P0
CS1583,2/15/2015,25,1919,P0
CS1584,3/2/2015,21,1512,P0
CS1585,12/13/2014,19,1167,P0
CS1586,1/2/2015,20,1441,P0
CS1587,2/7/2015,27,1900,P0
CS1588,3/7/2015,25,1591,P0
CS1589,3/1/2015,15,1151,P0
CS1590,10/13/2014,16,964,P2
CS1591,10/13/2014,18,1144,P0
CS1592,2/10/2015,19,1215,P0
CS1593,2/20/2015,20,1406,P0
CS1594,2/21/2015,13,901,P2
CS1595,11/30/2014,10,648,P2
CS1596,2/26/2015,19,1342,P0
CS1597,1/9/2015,23,1611,P0
CS1598,2/5/2015,20,1289,P0
CS1599,1/18/2015,15,1028,P0
CS1600,2/25/2015,20,1331,P0
CS1601,12/27/2014,27,1787,P0
CS1602,2/18/2015,20,1401,P0
CS1603,11/11/2014,19,1374,P0
CS1604,3/1/2015,28,1950,P0
CS1605,2/28/2015,27,1685,P0
CS1606,3/14/2015,13,781,P2
CS1607,1/14/2015,19,1384,P0
CS1608,1/26/2015,14,973,P2
CS1609,10/30/2014,20,1375,P0
CS1610,2/12/2015,19,1326,P0
CS1611,7/1/2014,23,1794,P0
CS1612,2/25/2015,26,1759,P0
CS1613,11/9/2014,21,1347,P0
CS1614,3/6/2015,22,1568,P0
CS1615,3/13/2015,20,1419,P0
CS1616,3/6/2015,19,1434,P0
CS1617,12/2/2014,27,1784,P0
CS1618,9/22/2014,13,887,P2
CS1619,3/5/2015,21,1323,P0
CS1620,5/20/2014,16,1320,P0
CS1621,2/23/2015,26,1894,P0
CS1622,3/16/2015,20,1360,P0
CS1623,2/28/2015,26,1777,P0
CS1624,2/5/2015,25,1832,P0
CS1625,3/11/2015,14,950,P2
CS1626,1/14/2015,17,1172,P0
CS1627,12/29/2014,16,1043,P0
CS1628,2/23/2015,21,1456,P0
CS1629,3/13/2015,22,1394,P0
CS1630,3/15/2015,20,1393,P0
CS1631,2/3/2015,18,1223,P0
CS1632,3/8/2015,17,1187,P0
CS1633,2/26/2015,26,1763,P0
CS1634,3/2/2015,15,1044,P0
CS1635,12/10/2014,23,1573,P0
CS1636,1/7/2015,19,1347,P0
CS1637,2/22/2015,22,1496,P0
CS1638,7/29/2014,15,1035,P0
CS1639,3/4/2015,23,1619,P0
CS1640,1/15/2015,19,1232,P0
CS1641,3/8/2015,17,1232,P0
CS1642,2/10/2015,24,1672,P0
CS1643,2/22/2015,27,2087,P0
CS1644,12/31/2014,22,1542,P0
CS1645,7/16/2014,19,1412,P0
CS1646,2/17/2015,17,1185,P0
CS1647,2/28/2015,21,1401,P0
CS1648,11/20/2014,24,1776,P0
CS1649,1/27/2015,16,1197,P0
CS1650,11/23/2014,24,1832,P0
CS1651,12/2/2014,13,927,P2
CS1652,3/15/2015,26,1726,P0
CS1653,11/19/2014,26,1986,P0
CS1654,12/16/2014,19,1384,P0
CS1655,2/16/2015,14,955,P2
CS1656,1/24/2015,14,966,P2
CS1657,11/11/2014,18,1105,P0
CS1658,2/15/2015,20,1389,P0
CS1659,2/1/2015,19,1311,P0
CS1660,2/24/2015,24,1745,P0
CS1661,2/17/2015,32,2051,P0
CS1662,2/22/2015,17,1033,P0
CS1663,12/10/2014,23,1487,P0
CS1664,3/3/2015,25,1954,P0
CS1665,10/12/2014,16,1033,P0
CS1666,1/25/2015,18,1385,P0
CS1667,1/2/2015,20,1313,P0
CS1668,1/26/2015,17,1227,P0
CS1669,3/1/2015,15,1105,P0
CS1670,12/25/2014,16,1191,P0
CS1671,12/22/2014,17,1246,P0
CS1672,11/5/2014,15,1110,P0
CS1673,1/21/2015,26,1784,P0
CS1674,1/21/2015,17,1088,P0
CS1675,2/6/2015,28,2124,P0
CS1676,1/9/2015,28,2088,P0
CS1677,1/11/2015,21,1439,P0
CS1678,12/31/2014,18,1230,P0
CS1679,3/9/2015,28,1976,P0
CS1680,1/27/2015,18,1151,P0
CS1681,11/23/2014,21,1467,P0
CS1682,11/10/2014,15,1075,P0
CS1683,3/2/2015,17,1245,P0
CS1684,1/7/2015,18,1241,P0
CS1685,8/13/2014,22,1569,P0
CS1686,1/8/2015,24,1647,P0
CS1687,2/20/2015,22,1656,P0
CS1688,11/5/2014,17,1167,P0
CS1689,1/1/2015,16,993,P2
CS1690,2/21/2015,19,1354,P0
CS1691,1/2/2015,20,1523,P0
CS1692,3/15/2015,23,1592,P0
CS1693,3/1/2015,12,908,P2
CS1694,1/10/2015,22,1330,P0
CS1695,12/13/2014,32,2174,P0
CS1696,11/7/2014,19,1325,P0
CS1697,11/29/2014,15,1082,P0
CS1698,3/11/2015,19,1397,P0
CS1699,2/28/2015,18,1261,P0
CS1700,7/12/2014,17,1186,P0
CS1701,9/19/2014,18,1190,P0
CS1702,2/18/2015,17,1028,P0
CS1703,1/6/2015,15,890,P2
CS1704,2/26/2015,22,1484,P0
CS1705,12/28/2014,21,1553,P0
CS1706,2/14/2015,23,1681,P0
CS1707,2/3/2015,22,1627,P0
CS1708,2/4/2015,25,1790,P0
CS1709,10/8/2014,23,1629,P0
CS1710,6/24/2014,22,1577,P0
CS1711,12/21/2014,23,1548,P0
CS1712,11/16/2014,21,1411,P0
CS1713,3/7/2015,19,1495,P0
CS1714,3/16/2015,16,1248,P0
CS1715,1/28/2015,20,1314,P0
CS1716,3/29/2014,6,440,P2
CS1717,1/26/2015,14,963,P2
CS1718,12/29/2014,18,1284,P0
CS1719,2/9/2015,17,1166,P0
CS1720,3/16/2015,17,1104,P0
CS1721,2/24/2015,24,1687,P0
CS1722,3/2/2015,19,1320,P0
CS1723,2/9/2015,17,1146,P0
CS1724,2/15/2015,18,1223,P0
CS1725,1/16/2015,27,1778,P0
CS1726,2/17/2015,23,1529,P0
CS1727,3/5/2015,25,1702,P0
CS1728,11/30/2014,26,1896,P0
CS1729,3/3/2015,24,1567,P0
CS1730,11/5/2014,19,1260,P0
CS1731,3/2/2015,17,1145,P0
CS1732,2/19/2015,18,1353,P0
CS1733,11/6/2014,20,1506,P0
CS1734,9/7/2014,18,1235,P0
CS1735,3/3/2015,14,952,P2
CS1736,12/23/2014,24,1653,P0
CS1737,12/16/2014,23,1737,P0
CS1738,2/9/2015,20,1337,P0
CS1739,1/27/2015,17,1199,P0
CS1740,2/5/2015,25,1902,P0
CS1741,10/20/2014,19,1264,P0
CS1742,1/5/2015,19,1326,P0
CS1743,9/29/2014,17,1405,P0
CS1744,3/3/2015,14,1066,P2
CS1745,2/20/2015,22,1615,P0
CS1746,6/15/2014,26,1878,P0
CS1747,3/12/2015,17,1099,P0
CS1748,3/14/2015,22,1498,P0
CS1749,2/27/2015,17,1174,P0
CS1750,3/4/2015,22,1543,P0
CS1751,1/26/2015,23,1504,P0
CS1752,2/27/2015,22,1656,P0
CS1753,12/20/2014,18,1180,P0
CS1754,12/28/2014,17,1177,P0
CS1755,12/20/2014,17,1164,P0
CS1756,7/24/2014,18,1176,P0
CS1757,12/26/2014,31,2238,P0
CS1758,1/10/2015,20,1337,P0
CS1759,11/29/2014,24,1654,P0
CS1760,1/13/2015,21,1570,P0
CS1761,3/15/2015,16,1144,P0
CS1762,12/14/2014,14,1027,P2
CS1763,2/16/2015,24,1689,P0
CS1764,2/9/2015,15,1085,P0
CS1765,12/22/2014,14,1079,P2
CS1766,11/16/2014,19,1067,P0
CS1767,2/12/2015,26,1674,P0
CS1768,12/11/2014,25,1794,P0
CS1769,9/17/2014,20,1356,P0
CS1770,3/10/2015,25,1734,P0
CS1771,3/4/2015,19,1337,P0
CS1772,1/22/2015,18,1348,P0
CS1773,12/20/2014,22,1442,P0
CS1774,3/12/2015,25,1756,P0
CS1775,1/22/2015,13,848,P2
CS1776,1/17/2015,25,1782,P0
CS1777,12/27/2014,14,1044,P2
CS1778,2/13/2015,19,1368,P0
CS1779,3/2/2015,16,1086,P0
CS1780,3/7/2015,19,1265,P0
CS1781,9/8/2014,29,2131,P0
CS1782,12/30/2014,17,1174,P0
CS1783,12/8/2014,17,1210,P0
CS1784,11/17/2014,15,993,P2
CS1785,2/26/2015,29,2103,P0
CS1786,2/9/2015,31,2218,P0
CS1787,3/5/2015,22,1443,P0
CS1788,10/13/2014,24,1548,P0
CS1789,3/1/2015,16,1192,P0
CS1790,9/17/2014,18,1241,P0
CS1791,3/16/2015,21,1607,P0
CS1792,1/3/2015,17,1179,P0
CS1793,2/28/2015,17,1035,P0
CS1794,3/16/2015,24,1764,P0
CS1795,11/6/2014,17,1331,P0
CS1796,1/31/2015,20,1462,P0
CS1797,1/25/2015,23,1393,P0
CS1798,12/7/2014,27,1826,P0
CS1799,2/3/2015,14,966,P2
CS1800,3/14/2015,16,1053,P0
CS1801,11/24/2014,15,994,P2
CS1802,3/6/2015,27,1913,P0
CS1803,11/9/2014,21,1562,P0
CS1804,2/5/2015,19,1247,P0
CS1805,2/20/2015,31,2076,P0
CS1806,1/30/2015,15,1025,P0
CS1807,1/24/2015,26,1732,P0
CS1808,12/16/2014,14,851,P2
CS1809,2/16/2015,21,1500,P0
CS1810,2/2/2015,16,1165,P0
CS1811,2/28/2015,18,1425,P0
CS1812,3/11/2015,27,1783,P0
